date,season,div,home,away,fthg,ftag,ftr,home_shots,away_shots,home_sot,away_sot,odds_home,odds_draw,odds_away,league
2016-08-12,2016-17,F1,Bastia,Paris SG,0,1,A,10.0,9.0,0.0,6.0,13.0,4.75,1.29,Ligue 1
2016-08-12,2016-17,F1,Monaco,Guingamp,2,2,D,18.0,9.0,4.0,5.0,1.62,3.8,5.25,Ligue 1
2016-08-13,2016-17,F1,Bordeaux,St Etienne,3,2,H,10.0,14.0,6.0,5.0,2.5,3.1,3.1,Ligue 1
2016-08-13,2016-17,F1,Caen,Lorient,3,2,H,15.0,8.0,6.0,2.0,2.2,3.25,3.5,Ligue 1
2016-08-13,2016-17,F1,Dijon,Nantes,0,1,A,6.0,10.0,2.0,3.0,2.5,3.1,3.1,Ligue 1
2016-08-13,2016-17,F1,Metz,Lille,3,2,H,7.0,13.0,3.0,4.0,3.4,3.2,2.2,Ligue 1
2016-08-13,2016-17,F1,Montpellier,Angers,1,0,H,14.0,12.0,3.0,2.0,2.1,3.1,4.0,Ligue 1
2016-08-13,2016-17,E0,Burnley,Swansea,0,1,A,10.0,17.0,3.0,9.0,2.4,3.3,3.25,Premier League
2016-08-13,2016-17,E0,Crystal Palace,West Brom,0,1,A,14.0,13.0,4.0,3.0,2.0,3.3,4.5,Premier League
2016-08-13,2016-17,E0,Everton,Tottenham,1,1,D,12.0,13.0,6.0,4.0,3.2,3.4,2.4,Premier League
2016-08-13,2016-17,E0,Hull,Leicester,2,1,H,14.0,18.0,5.0,5.0,4.5,3.6,1.91,Premier League
2016-08-13,2016-17,E0,Southampton,Watford,1,1,D,24.0,5.0,6.0,1.0,1.8,3.75,5.0,Premier League
2016-08-13,2016-17,E0,Man City,Sunderland,2,1,H,16.0,7.0,4.0,3.0,1.25,6.5,15.0,Premier League
2016-08-13,2016-17,E0,Middlesbrough,Stoke,1,1,D,12.0,12.0,2.0,1.0,2.38,3.2,3.4,Premier League
2016-08-14,2016-17,E0,Bournemouth,Man United,1,3,A,9.0,11.0,3.0,7.0,4.75,3.6,1.85,Premier League
2016-08-14,2016-17,F1,Marseille,Toulouse,0,0,D,10.0,6.0,2.0,2.0,2.0,3.3,4.0,Ligue 1
2016-08-14,2016-17,E0,Arsenal,Liverpool,3,4,A,9.0,16.0,5.0,7.0,2.4,3.5,3.1,Premier League
2016-08-14,2016-17,F1,Nancy,Lyon,0,3,A,11.0,9.0,1.0,7.0,3.5,3.3,2.15,Ligue 1
2016-08-14,2016-17,F1,Nice,Rennes,1,0,H,7.0,19.0,1.0,4.0,2.38,3.1,3.25,Ligue 1
2016-08-15,2016-17,E0,Chelsea,West Ham,2,1,H,16.0,7.0,6.0,3.0,1.65,4.0,6.0,Premier League
2016-08-19,2016-17,E0,Man United,Southampton,2,0,H,12.0,13.0,5.0,1.0,1.53,4.2,7.5,Premier League
2016-08-19,2016-17,SP1,La Coruna,Eibar,2,1,H,11.0,12.0,6.0,6.0,1.95,3.4,4.2,La Liga
2016-08-19,2016-17,SP1,Malaga,Osasuna,1,1,D,14.0,8.0,4.0,3.0,1.62,3.75,6.0,La Liga
2016-08-19,2016-17,F1,Lyon,Caen,2,0,H,21.0,7.0,7.0,1.0,1.33,4.75,9.5,Ligue 1
2016-08-20,2016-17,F1,Lorient,Bastia,0,3,A,10.0,16.0,3.0,7.0,1.85,3.5,4.5,Ligue 1
2016-08-20,2016-17,F1,Lille,Dijon,1,0,H,10.0,7.0,3.0,2.0,1.67,3.5,6.0,Ligue 1
2016-08-20,2016-17,F1,Nantes,Monaco,0,1,A,8.0,8.0,2.0,3.0,2.5,3.0,3.0,Ligue 1
2016-08-20,2016-17,F1,Rennes,Nancy,2,0,H,9.0,8.0,3.0,1.0,2.1,3.25,3.8,Ligue 1
2016-08-20,2016-17,F1,Toulouse,Bordeaux,4,1,H,11.0,9.0,5.0,2.0,2.3,3.2,3.25,Ligue 1
2016-08-20,2016-17,SP1,Sevilla,Espanol,6,4,H,16.0,10.0,11.0,7.0,1.67,4.0,5.0,La Liga
2016-08-20,2016-17,SP1,Granada,Villarreal,1,1,D,7.0,12.0,1.0,3.0,2.5,3.2,3.0,La Liga
2016-08-20,2016-17,SP1,Barcelona,Betis,6,2,H,30.0,6.0,12.0,2.0,1.08,11.0,29.0,La Liga
2016-08-20,2016-17,F1,Angers,Nice,0,1,A,21.0,14.0,6.0,8.0,2.5,3.0,3.2,Ligue 1
2016-08-20,2016-17,I1,Roma,Udinese,4,0,H,25.0,11.0,9.0,1.0,1.44,4.5,7.5,Serie A
2016-08-20,2016-17,I1,Juventus,Fiorentina,2,1,H,19.0,4.0,4.0,1.0,1.5,4.2,7.0,Serie A
2016-08-20,2016-17,E0,Stoke,Man City,1,4,A,8.0,12.0,3.0,6.0,5.5,3.8,1.73,Premier League
2016-08-20,2016-17,E0,Tottenham,Crystal Palace,1,0,H,20.0,10.0,5.0,2.0,1.45,4.75,8.0,Premier League
2016-08-20,2016-17,E0,Swansea,Hull,0,2,A,13.0,12.0,3.0,4.0,1.8,3.6,5.25,Premier League
2016-08-20,2016-17,E0,Leicester,Arsenal,0,0,D,8.0,13.0,1.0,4.0,2.88,3.6,2.5,Premier League
