tournament,home,away,home_goals,away_goals,date,stage,odds_home,odds_draw,odds_away,avg_home,avg_draw,avg_away,home_raw,away_raw,result
World Cup 2010,Uruguay,France,0,0,2010-06-11,Group A,,,,,,,Uruguay,France,D
World Cup 2010,South Africa,Mexico,1,1,2010-06-11,Group A,,,,,,,South Africa,Mexico,D
World Cup 2010,"Korea, South",Greece,2,0,2010-06-12,Group B,,,,,,,South Korea,Greece,H
World Cup 2010,England,United States,1,1,2010-06-12,Group C,,,,,,,England,United States,D
World Cup 2010,Argentina,Nigeria,1,0,2010-06-12,Group B,,,,,,,Argentina,Nigeria,H
World Cup 2010,Algeria,Slovenia,0,1,2010-06-13,Group C,,,,,,,Algeria,Slovenia,A
World Cup 2010,Serbia,Ghana,0,1,2010-06-13,Group D,,,,,,,Serbia,Ghana,A
World Cup 2010,Germany,Australia,4,0,2010-06-13,Group D,,,,,,,Germany,Australia,H
World Cup 2010,Netherlands,Denmark,2,0,2010-06-14,Group E,,,,,,,Netherlands,Denmark,H
World Cup 2010,Japan,Cameroon,1,0,2010-06-14,Group E,,,,,,,Japan,Cameroon,H
World Cup 2010,Italy,Paraguay,1,1,2010-06-14,Group F,,,,,,,Italy,Paraguay,D
World Cup 2010,New Zealand,Slovakia,1,1,2010-06-15,Group F,,,,,,,New Zealand,Slovakia,D
World Cup 2010,Cote d'Ivoire,Portugal,0,0,2010-06-15,Group G,,,,,,,Ivory Coast,Portugal,D
World Cup 2010,Brazil,"Korea, North",2,1,2010-06-15,Group G,,,,,,,Brazil,North Korea,H
World Cup 2010,Honduras,Chile,0,1,2010-06-16,Group H,,,,,,,Honduras,Chile,A
World Cup 2010,Spain,Switzerland,0,1,2010-06-16,Group H,,,,,,,Spain,Switzerland,A
World Cup 2010,South Africa,Uruguay,0,3,2010-06-16,Group A,,,,,,,South Africa,Uruguay,A
World Cup 2010,France,Mexico,0,2,2010-06-17,Group A,,,,,,,France,Mexico,A
World Cup 2010,Greece,Nigeria,2,1,2010-06-17,Group B,,,,,,,Greece,Nigeria,H
World Cup 2010,Argentina,"Korea, South",4,1,2010-06-17,Group B,,,,,,,Argentina,South Korea,H
World Cup 2010,Germany,Serbia,0,1,2010-06-18,Group D,,,,,,,Germany,Serbia,A
World Cup 2010,England,Algeria,0,0,2010-06-18,Group C,,,,,,,England,Algeria,D
World Cup 2010,Slovenia,United States,2,2,2010-06-18,Group C,,,,,,,Slovenia,United States,D
World Cup 2010,Netherlands,Japan,1,0,2010-06-19,Group E,,,,,,,Netherlands,Japan,H
World Cup 2010,Ghana,Australia,1,1,2010-06-19,Group D,,,,,,,Ghana,Australia,D
World Cup 2010,Cameroon,Denmark,1,2,2010-06-19,Group E,,,,,,,Cameroon,Denmark,A
World Cup 2010,Slovakia,Paraguay,0,2,2010-06-20,Group F,,,,,,,Slovakia,Paraguay,A
World Cup 2010,Italy,New Zealand,1,1,2010-06-20,Group F,,,,,,,Italy,New Zealand,D
World Cup 2010,Brazil,Cote d'Ivoire,3,1,2010-06-20,Group G,,,,,,,Brazil,Ivory Coast,H
World Cup 2010,Portugal,"Korea, North",7,0,2010-06-21,Group G,,,,,,,Portugal,North Korea,H
World Cup 2010,Chile,Switzerland,1,0,2010-06-21,Group H,,,,,,,Chile,Switzerland,H
World Cup 2010,Spain,Honduras,2,0,2010-06-21,Group H,,,,,,,Spain,Honduras,H
World Cup 2010,Greece,Argentina,0,2,2010-06-22,Group B,,,,,,,Greece,Argentina,A
World Cup 2010,Nigeria,"Korea, South",2,2,2010-06-22,Group B,,,,,,,Nigeria,South Korea,D
World Cup 2010,Mexico,Uruguay,0,1,2010-06-22,Group A,,,,,,,Mexico,Uruguay,A
World Cup 2010,France,South Africa,1,2,2010-06-22,Group A,,,,,,,France,South Africa,A
World Cup 2010,Australia,Serbia,2,1,2010-06-23,Group D,,,,,,,Australia,Serbia,H
World Cup 2010,Slovenia,England,0,1,2010-06-23,Group C,,,,,,,Slovenia,England,A
World Cup 2010,Ghana,Germany,0,1,2010-06-23,Group D,,,,,,,Ghana,Germany,A
World Cup 2010,United States,Algeria,1,0,2010-06-23,Group C,,,,,,,United States,Algeria,H
World Cup 2010,Slovakia,Italy,3,2,2010-06-24,Group F,,,,,,,Slovakia,Italy,H
World Cup 2010,Paraguay,New Zealand,0,0,2010-06-24,Group F,,,,,,,Paraguay,New Zealand,D
World Cup 2010,Denmark,Japan,1,3,2010-06-24,Group E,,,,,,,Denmark,Japan,A
World Cup 2010,Cameroon,Netherlands,1,2,2010-06-24,Group E,,,,,,,Cameroon,Netherlands,A
World Cup 2010,Portugal,Brazil,0,0,2010-06-25,Group G,,,,,,,Portugal,Brazil,D
World Cup 2010,"Korea, North",Cote d'Ivoire,0,3,2010-06-25,Group G,,,,,,,North Korea,Ivory Coast,A
World Cup 2010,Chile,Spain,1,2,2010-06-25,Group H,,,,,,,Chile,Spain,A
World Cup 2010,Switzerland,Honduras,0,0,2010-06-25,Group H,,,,,,,Switzerland,Honduras,D
World Cup 2010,United States,Ghana,1,1,2010-06-26,Round of 16,,,,,,,United States,Ghana,D
World Cup 2010,Uruguay,"Korea, South",2,1,2010-06-26,Round of 16,,,,,,,Uruguay,South Korea,H
World Cup 2010,Germany,England,4,1,2010-06-27,Round of 16,,,,,,,Germany,England,H
World Cup 2010,Argentina,Mexico,3,1,2010-06-27,Round of 16,,,,,,,Argentina,Mexico,H
World Cup 2010,Netherlands,Slovakia,2,1,2010-06-28,Round of 16,,,,,,,Netherlands,Slovakia,H
World Cup 2010,Brazil,Chile,3,0,2010-06-28,Round of 16,,,,,,,Brazil,Chile,H
World Cup 2010,Paraguay,Japan,0,0,2010-06-29,Round of 16,,,,,,,Paraguay,Japan,D
World Cup 2010,Spain,Portugal,1,0,2010-06-29,Round of 16,,,,,,,Spain,Portugal,H
World Cup 2010,Netherlands,Brazil,2,1,2010-07-02,Quarter-finals,,,,,,,Netherlands,Brazil,H
World Cup 2010,Uruguay,Ghana,1,1,2010-07-02,Quarter-finals,,,,,,,Uruguay,Ghana,D
World Cup 2010,Argentina,Germany,0,4,2010-07-03,Quarter-finals,,,,,,,Argentina,Germany,A
World Cup 2010,Paraguay,Spain,0,1,2010-07-03,Quarter-finals,,,,,,,Paraguay,Spain,A
World Cup 2010,Uruguay,Netherlands,2,3,2010-07-06,Semi-finals,,,,,,,Uruguay,Netherlands,A
World Cup 2010,Germany,Spain,0,1,2010-07-07,Semi-finals,,,,,,,Germany,Spain,A
World Cup 2010,Uruguay,Germany,2,3,2010-07-10,Match for third place,,,,,,,Uruguay,Germany,A
World Cup 2010,Netherlands,Spain,0,0,2010-07-11,Final,,,,,,,Netherlands,Spain,D
World Cup 2014,Chile,Australia,3,1,2014-06-13,,1.44,4.5,9.0,1.42,4.4,8.63,Chile,Australia,H
World Cup 2014,Colombia,Greece,3,0,2014-06-14,,1.85,3.3,5.5,1.84,3.26,5.12,Colombia,Greece,H
World Cup 2014,Uruguay,Costa Rica,1,3,2014-06-14,,1.44,4.33,9.5,1.44,4.2,9.02,Uruguay,Costa Rica,A
World Cup 2014,England,Italy,1,2,2014-06-14,,2.5,3.0,3.4,2.51,2.99,3.23,England,Italy,A
World Cup 2014,Cote d'Ivoire,Japan,2,1,2014-06-15,,2.75,3.4,2.7,2.68,3.31,2.7,Ivory Coast,Japan,H
World Cup 2014,Switzerland,Ecuador,2,1,2014-06-15,,2.55,3.2,3.1,2.4,3.21,3.13,Switzerland,Ecuador,H
World Cup 2014,France,Honduras,3,0,2014-06-15,,1.25,6.5,14.0,1.26,5.89,12.4,France,Honduras,H
World Cup 2014,Argentina,Bosnia-Herzegovina,2,1,2014-06-15,,1.3,5.75,12.0,1.31,5.56,10.24,Argentina,Bosnia & Herzegovina,H
